measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Global,Both,All Ages,Alcohol use disorders,Number,2008,169576.557585,179903.963465,147403.74217
Deaths,Global,Both,All Ages,Drug use disorders,Number,2008,127472.052944,134307.400494,118806.878926
Deaths,Global,Both,All Ages,Eating disorders,Number,2008,586.582514188,646.724727572,523.548562795
Deaths,Global,Both,All Ages,Drug use disorders,Number,2013,135734.412446,145967.77545,125617.855621
Deaths,Global,Both,All Ages,Eating disorders,Number,2013,592.089411145,653.277654553,530.939628628
Deaths,Global,Both,All Ages,Alcohol use disorders,Number,2007,169982.593681,180163.097089,147013.771222
Deaths,Global,Both,All Ages,Drug use disorders,Number,2007,125781.193139,132297.388393,116840.259191
Deaths,Global,Both,All Ages,Eating disorders,Number,2007,583.12132329,643.428100836,519.32665635
Deaths,Global,Both,All Ages,Alcohol use disorders,Number,2009,165855.847593,175423.287639,143760.730654
Deaths,Global,Both,All Ages,Drug use disorders,Number,2009,128566.709796,136364.077621,119628.315975
Deaths,Global,Both,All Ages,Eating disorders,Number,2009,588.5070662,649.753735444,525.275545183
Deaths,Global,Both,All Ages,Alcohol use disorders,Number,2014,166787.10226,177464.816881,141377.846445
Deaths,Global,Both,All Ages,Drug use disorders,Number,2014,138554.496549,149408.574144,127582.971625
Deaths,Global,Both,All Ages,Eating disorders,Number,2014,597.830004206,663.439441851,534.006297007
Deaths,Global,Both,All Ages,Alcohol use disorders,Number,2012,162825.118233,172494.757643,139997.971046
Deaths,Global,Both,All Ages,Drug use disorders,Number,2012,132939.304766,142396.92662,123651.043012
Deaths,Global,Both,All Ages,Eating disorders,Number,2012,593.293329766,652.736853434,533.428171522
Deaths,Global,Both,All Ages,Alcohol use disorders,Number,2013,164411.42329,174415.721056,140063.398642
Deaths,Global,Both,All Ages,Alcohol use disorders,Number,2015,170586.907161,184345.608645,144102.12317
Deaths,Global,Both,All Ages,Drug use disorders,Number,2015,141005.486427,153897.433673,128742.578204
Deaths,Global,Both,All Ages,Eating disorders,Number,2015,603.781988022,672.579221077,538.96912597
Deaths,Global,Both,All Ages,Alcohol use disorders,Number,2016,173893.084792,190901.77863,145525.981823
Deaths,Global,Both,All Ages,Drug use disorders,Number,2016,143774.611654,158776.875977,130276.724793
Deaths,Global,Both,All Ages,Eating disorders,Number,2016,609.564417986,681.190550704,543.316855086
